time,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,env,Z_RIGHT_WRISTlowpass10,Z_RIGHT_WRISTlowpass30,Z_RIGHT_WRISTguassianfilt,speed,vertical_velocity,acceleration,jerk
0.0,-0.1845894865978837,0.29954348473769443,-0.5248823134988307,0.0198325848455997,-0.5249225663113154,-0.5248825713672396,-0.5346215077205039,-3.6107155365876914e-06,5.244288544615019e-09,-4.44853761427666e-06,-1.4361042208060892e-06
10.0,-0.18371668965892743,0.29612736202728257,-0.533296755665755,0.0180002745005905,-0.5329494550486596,-0.533745404098461,-0.5375634545886645,0.6354823834859504,-0.00024126178449099898,0.32253187145501033,0.09907679240269851
20.0,-0.1828420975533554,0.2926639002284922,-0.5416104051575724,0.0196629255719302,-0.5406894627075011,-0.5410127203450021,-0.5427168820201785,0.9499577707153247,-0.00036005053944559003,0.3314747248781104,0.02728464655981981
30.0,-0.18196970467278367,0.2892981887487803,-0.5498733855767787,0.0288004853360587,-0.5482064216566751,-0.5495438006335878,-0.5489834519828604,0.9444964327268456,-0.0003536751158136701,0.10072303289296006,-0.12487514352098669
40.0,-0.18111206506181043,0.28639208607757893,-0.5573288781464292,0.0505236661178792,-0.5550967279025126,-0.5579892509082155,-0.5553424440805754,0.8008930011376348,-0.0002896034627605528,-0.1046418641940702,-0.17497765771842544
50.0,-0.18028129776525978,0.2841836169004849,-0.5631684369739534,0.0907594747647738,-0.5608098400281896,-0.5630527444085819,-0.5611156478315786,0.6470484381222503,-0.00022058958399719732,-0.16822533584295693,-0.0996140021804927
60.0,-0.17947447227569702,0.28247985345736587,-0.5679404095659171,0.1565783573447766,-0.5655236700762099,-0.5670454363804601,-0.5659657856384264,0.5279198121819318,-0.0001767105359640235,-0.14000957350578414,-0.0009966708131899024
70.0,-0.1786591278941362,0.28079883509735354,-0.5722585873693866,0.2537631724697481,-0.5694597923022042,-0.572100917955962,-0.5697280021662621,0.4420109505921454,-0.0001756631492083738,-0.09354568086992049,0.047734340514071064
80.0,-0.1777718586686674,0.2786757327944416,-0.5753047107498026,0.3793541476301855,-0.5722234729426511,-0.5758190345282476,-0.5722880316452366,0.37777139229762735,-0.00021573891252855355,-0.056068258185536825,0.04926756478313081
90.0,-0.17676003869937312,0.27591495726926313,-0.5762133252830376,0.5143482542176048,-0.5734972735035965,-0.5758098777726501,-0.5736251663323334,0.3442265017722482,-0.00027271524155924036,-0.02597959103386933,0.03285462229514022
