start_time,end_time,labelid,label,duration
1.08,1.4,1,Gesture,0.31999999999999984
1.84,2.8,2,Gesture,0.9599999999999997
3.2,4.72,3,Gesture,1.5199999999999996
5.0,5.96,4,Gesture,0.96
6.52,8.56,5,Gesture,2.040000000000001
8.64,9.24,6,Move,0.5999999999999996
9.28,9.68,7,Gesture,0.40000000000000036
10.28,14.76,8,Gesture,4.48
15.24,18.4,9,Gesture,3.1599999999999984
18.76,19.32,10,Gesture,0.5599999999999987
20.04,20.88,11,Move,0.8399999999999999
21.0,21.76,12,Gesture,0.7600000000000016
22.12,22.6,13,Gesture,0.4800000000000004
23.04,23.52,14,Gesture,0.4800000000000004
24.0,24.92,15,Gesture,0.9200000000000017
25.32,25.68,16,Gesture,0.35999999999999943
27.28,27.6,17,Gesture,0.3200000000000003
28.0,33.32,18,Gesture,5.32
33.72,36.72,19,Gesture,3.0
37.16,38.08,20,Gesture,0.9200000000000017
39.4,41.96,21,Gesture,2.5600000000000023
42.32,45.24,22,Gesture,2.9200000000000017
46.28,46.8,23,Move,0.519999999999996
47.04,51.32,24,Gesture,4.280000000000001
51.64,53.8,25,Gesture,2.1599999999999966
54.12,55.88,26,Gesture,1.7600000000000051
55.96,56.36,27,Move,0.3999999999999986
56.6,58.68,28,Gesture,2.0799999999999983
59.16,62.32,29,Gesture,3.1600000000000037
62.84,72.56,30,Gesture,9.719999999999999
73.32,73.88,31,Gesture,0.5600000000000023
74.24,78.68,32,Gesture,4.440000000000012
79.52,82.04,33,Gesture,2.5200000000000102
82.44,86.84,34,Gesture,4.400000000000006
87.0,88.56,35,Gesture,1.5600000000000023
88.6,89.2,36,Move,0.6000000000000085
89.32,90.76,37,Gesture,1.440000000000012
91.2,91.56,38,Gesture,0.35999999999999943
92.48,93.12,39,Move,0.6400000000000006
93.48,98.92,40,Gesture,5.439999999999998
99.32,102.56,41,Gesture,3.240000000000009
103.2,109.36,42,Gesture,6.159999999999997
109.4,110.32,43,Move,0.9199999999999875
110.44,121.8,44,Gesture,11.36
122.12,132.64,45,Gesture,10.519999999999982
132.84,133.28,46,Move,0.4399999999999977
133.64,147.36,47,Gesture,13.720000000000027
147.72,165.56,48,Gesture,17.840000000000003
